,date,branch,order
57,2023-02-20 03:51:44,Branch 2,"3S_Burger, 2S_Fries, 3S_Drink"
58,2023-09-23 22:06:44,Branch 2,"7S_Burger, 2S_Fries, 1S_Drink"
59,2023-11-09 16:34:27,Branch 8,"2S_Burger, 7S_Fries, 7S_Drink"
60,2023-03-06 09:24:02,Branch 6,"7S_Burger, 3S_Fries, 1S_Drink"
61,2023-02-11 18:04:00,Branch 5,"1S_Burger, 5S_Fries, 3S_Drink"
62,2023-09-27 09:27:27,Branch 10,"7S_Burger, 7S_Drink"
63,2023-09-02 05:12:46,Branch 3,"2S_Burger, 4S_Fries, 4S_Drink"
64,2023-01-12 11:59:30,Branch 3,"4S_Burger, 4S_Drink"
65,2023-04-14 15:37:09,Branch 3,"1S_Burger, 7S_Fries, 2S_Drink"
66,2023-02-10 20:23:59,Branch 4,"4S_Burger, 1S_Fries, 7S_Drink"
67,2023-01-05 00:48:32,Branch 6,"5S_Burger, 3S_Drink"
68,2023-06-18 21:26:14,Branch 10,"7S_Burger, 6S_Fries, 7S_Drink"
69,2023-08-07 05:45:54,Branch 5,"4S_Burger, 3S_Fries, 4S_Drink"
70,2023-05-16 06:03:22,Branch 7,"6S_Burger, 4S_Fries, 3S_Drink"
71,2023-08-02 06:58:11,Branch 3,"5S_Burger, 1S_Fries"
72,2023-09-26 04:48:00,Branch 9,"6S_Burger, 3S_Fries, 2S_Drink"
73,2023-09-08 14:05:34,Branch 3,"2S_Burger, 5S_Fries, 4S_Drink"
74,2023-12-21 10:56:54,Branch 8,"7S_Burger, 3S_Fries, 5S_Drink"
75,2023-08-01 08:34:55,Branch 4,"5S_Burger, 2S_Fries, 3S_Drink"
76,2023-02-25 23:35:33,Branch 10,"3S_Burger, 2S_Fries"
77,2023-03-25 15:14:41,Branch 7,"7S_Burger, 6S_Fries, 4S_Drink"
78,2023-07-30 23:08:16,Branch 5,"7S_Burger, 2S_Drink"
79,2023-10-07 19:58:02,Branch 9,"2S_Burger, 6S_Fries, 5S_Drink"
80,2023-09-08 06:45:31,Branch 8,"1S_Burger, 1S_Fries, 3S_Drink"
81,2023-06-12 06:41:41,Branch 10,"6S_Burger, 6S_Fries, 6S_Drink"
82,2023-04-20 06:13:22,Branch 4,"5S_Burger, 6S_Fries"
83,2023-03-27 09:53:01,Branch 3,"3S_Fries, 4S_Drink"
84,2023-03-08 23:09:07,Branch 7,"7S_Fries, 7S_Drink"
85,2023-04-02 03:35:11,Branch 7,"5S_Burger, 7S_Fries, 3S_Drink"
86,2023-06-10 17:09:15,Branch 7,"2S_Burger, 7S_Drink"
87,2023-04-29 14:37:44,Branch 3,"5S_Burger, 1S_Fries, 3S_Drink"
88,2023-01-13 01:49:57,Branch 4,4S_Drink
89,2023-07-18 23:36:02,Branch 6,6S_Burger
90,2023-10-19 00:20:43,Branch 7,"2S_Burger, 1S_Fries"
91,2023-01-25 03:09:04,Branch 5,"1S_Burger, 7S_Fries"
92,2023-02-04 15:14:13,Branch 7,"3S_Burger, 7S_Fries, 5S_Drink"
93,2023-01-04 01:56:16,Branch 8,"6S_Fries, 3S_Drink"
94,2023-04-19 18:33:53,Branch 8,"5S_Burger, 4S_Fries, 3S_Drink"
95,2023-09-11 18:23:45,Branch 3,"7S_Burger, 2S_Fries, 2S_Drink"
96,2023-12-25 23:13:48,Branch 7,"3S_Burger, 2S_Fries, 6S_Drink"
97,2023-01-25 07:13:39,Branch 6,"2S_Burger, 7S_Fries, 3S_Drink"
98,2023-08-22 01:16:48,Branch 10,"1S_Burger, 2S_Fries, 3S_Drink"
99,2023-06-22 11:37:48,Branch 6,"1S_Burger, 4S_Fries, 1S_Drink"
100,2023-08-21 13:16:40,Branch 8,"3S_Burger, 4S_Fries, 2S_Drink"
101,2023-09-27 14:04:51,Branch 3,"3S_Burger, 6S_Fries"
102,2023-11-08 03:06:41,Branch 3,"2S_Burger, 5S_Fries, 4S_Drink"
103,2023-11-22 10:14:08,Branch 8,"5S_Burger, 5S_Fries, 2S_Drink"
104,2023-06-21 13:54:59,Branch 2,"5S_Burger, 2S_Fries, 1S_Drink"
105,2023-06-16 16:36:27,Branch 9,"5S_Burger, 4S_Fries, 1S_Drink"
106,2023-12-06 05:43:21,Branch 1,"3S_Burger, 1S_Fries, 4S_Drink"
107,2023-04-17 20:48:53,Branch 5,"6S_Fries, 1S_Drink"
108,2023-08-20 03:50:51,Branch 1,"7S_Burger, 1S_Fries"
109,2023-07-15 10:39:36,Branch 3,"5S_Burger, 7S_Fries"
110,2023-02-03 17:47:58,Branch 9,"4S_Burger, 4S_Fries, 1S_Drink"
111,2023-02-02 14:14:41,Branch 9,"3S_Burger, 6S_Fries, 1S_Drink"
112,2023-12-20 12:16:25,Branch 5,"4S_Burger, 1S_Fries, 3S_Drink"
113,2023-06-09 22:10:29,Branch 1,"7S_Burger, 3S_Fries, 3S_Drink"
114,2023-01-30 09:01:41,Branch 3,"1S_Fries, 3S_Drink"
115,2023-04-06 05:54:18,Branch 7,4S_Burger
116,2023-03-02 14:19:52,Branch 1,"6S_Burger, 5S_Fries, 1S_Drink"
117,2023-02-13 06:55:21,Branch 3,"2S_Burger, 2S_Fries"
118,2023-10-06 01:13:42,Branch 4,"6S_Burger, 2S_Fries, 2S_Drink"
119,2023-09-12 19:06:25,Branch 4,"5S_Burger, 4S_Fries, 7S_Drink"
120,2023-11-12 18:42:16,Branch 1,"3S_Fries, 3S_Drink"
121,2023-08-03 23:33:24,Branch 7,"4S_Burger, 3S_Fries, 6S_Drink"
122,2023-01-04 15:59:13,Branch 4,"6S_Fries, 7S_Drink"
123,2023-09-19 17:49:41,Branch 5,"5S_Burger, 4S_Fries"
124,2023-11-06 18:41:37,Branch 10,"7S_Fries, 2S_Drink"
125,2023-02-15 22:27:41,Branch 7,"3S_Burger, 6S_Fries, 7S_Drink"
126,2023-10-30 19:51:23,Branch 6,"6S_Burger, 5S_Fries, 2S_Drink"
127,2023-07-01 17:08:32,Branch 7,"4S_Burger, 1S_Fries, 4S_Drink"
128,2023-06-17 03:08:59,Branch 8,"4S_Burger, 2S_Fries"
129,2023-06-10 17:28:48,Branch 4,"2S_Burger, 1S_Fries, 4S_Drink"
130,2023-09-25 13:16:43,Branch 9,"4S_Burger, 4S_Fries, 7S_Drink"
131,2023-02-16 06:09:50,Branch 2,"1S_Burger, 1S_Fries, 5S_Drink"
132,2023-09-07 16:36:19,Branch 2,"4S_Burger, 4S_Fries"
133,2023-05-16 06:45:40,Branch 4,"5S_Fries, 6S_Drink"
134,2023-03-15 02:45:10,Branch 10,"1S_Fries, 2S_Drink"
135,2023-11-02 00:55:10,Branch 9,"3S_Burger, 1S_Drink"
136,2023-01-26 08:47:27,Branch 5,"1S_Burger, 2S_Fries, 7S_Drink"
137,2023-04-20 18:45:17,Branch 2,"7S_Burger, 4S_Fries, 5S_Drink"
138,2023-12-16 19:47:23,Branch 8,"7S_Burger, 5S_Fries, 6S_Drink"
139,2023-12-10 18:33:25,Branch 2,"6S_Burger, 3S_Fries, 3S_Drink"
140,2023-12-15 05:10:57,Branch 2,"2S_Fries, 6S_Drink"
141,2023-08-03 06:44:41,Branch 8,"1S_Burger, 3S_Fries, 3S_Drink"
142,2023-06-19 21:10:39,Branch 10,"4S_Burger, 6S_Fries, 2S_Drink"
143,2023-06-27 12:18:57,Branch 4,"4S_Burger, 6S_Fries, 6S_Drink"
144,2023-08-09 10:21:06,Branch 7,"3S_Burger, 7S_Fries, 5S_Drink"
145,2023-04-04 13:54:57,Branch 4,"2S_Burger, 6S_Fries, 2S_Drink"
146,2023-07-29 23:04:29,Branch 2,"1S_Burger, 3S_Fries, 5S_Drink"
147,2023-05-17 01:42:34,Branch 1,"4S_Burger, 4S_Fries, 2S_Drink"
148,2023-02-19 22:04:46,Branch 10,"3S_Burger, 7S_Fries, 1S_Drink"
149,2023-04-20 13:40:10,Branch 3,"5S_Burger, 6S_Fries, 6S_Drink"
150,2023-09-29 01:44:18,Branch 8,"6S_Burger, 3S_Drink"
151,2023-10-27 08:44:59,Branch 8,"4S_Burger, 3S_Fries, 4S_Drink"
152,2023-04-19 09:25:54,Branch 1,"3S_Burger, 1S_Fries, 1S_Drink"
153,2023-12-28 15:11:05,Branch 10,"5S_Burger, 3S_Fries, 7S_Drink"
154,2023-06-14 15:04:17,Branch 9,"2S_Burger, 7S_Drink"
155,2023-05-06 08:25:02,Branch 10,"5S_Burger, 2S_Fries, 7S_Drink"
156,2023-06-01 07:14:37,Branch 3,"7S_Burger, 4S_Fries, 2S_Drink"
157,2023-06-15 17:54:21,Branch 1,"4S_Fries, 1S_Drink"
158,2023-05-15 07:52:48,Branch 8,"7S_Fries, 7S_Drink"
159,2023-03-10 22:23:30,Branch 5,"6S_Burger, 5S_Fries, 2S_Drink"
160,2023-07-12 17:04:32,Branch 1,"4S_Fries, 3S_Drink"
161,2023-12-27 09:54:19,Branch 10,"7S_Burger, 3S_Fries, 2S_Drink"
162,2023-04-04 07:40:47,Branch 8,"1S_Burger, 4S_Fries, 3S_Drink"
163,2023-07-21 05:09:52,Branch 7,"2S_Burger, 5S_Fries, 6S_Drink"
164,2023-12-30 01:23:05,Branch 2,"5S_Burger, 2S_Fries"
165,2023-09-04 06:06:51,Branch 10,"2S_Burger, 5S_Drink"
166,2023-12-23 02:37:21,Branch 5,"6S_Burger, 1S_Fries, 1S_Drink"
167,2023-01-10 17:01:33,Branch 3,"3S_Fries, 2S_Drink"
168,2023-10-09 10:48:01,Branch 8,"6S_Burger, 7S_Fries"
169,2023-12-18 10:40:51,Branch 3,"3S_Burger, 2S_Fries, 3S_Drink"
170,2023-12-18 16:04:53,Branch 6,2S_Fries
171,2023-07-03 08:22:11,Branch 1,6S_Fries
172,2023-03-06 16:55:34,Branch 6,7S_Drink
173,2023-11-15 07:25:04,Branch 5,"2S_Burger, 1S_Fries"
174,2023-06-01 08:13:14,Branch 5,"3S_Burger, 4S_Fries, 6S_Drink"
175,2023-09-27 11:16:47,Branch 6,"4S_Fries, 1S_Drink"
176,2023-10-07 21:07:24,Branch 3,"7S_Burger, 6S_Fries, 1S_Drink"
177,2023-06-12 04:28:04,Branch 2,"2S_Burger, 2S_Drink"
178,2023-03-19 11:27:24,Branch 5,"3S_Burger, 6S_Fries, 6S_Drink"
179,2023-08-02 09:50:56,Branch 8,"2S_Burger, 3S_Fries, 2S_Drink"
180,2023-05-27 20:58:24,Branch 8,"1S_Burger, 6S_Fries, 6S_Drink"
181,2023-12-03 05:36:14,Branch 6,"3S_Burger, 6S_Fries, 4S_Drink"
182,2023-12-31 12:17:07,Branch 1,"1S_Burger, 6S_Fries, 7S_Drink"
183,2023-09-25 08:03:41,Branch 9,"6S_Burger, 7S_Drink"
184,2023-12-19 19:29:47,Branch 3,"5S_Burger, 2S_Fries, 7S_Drink"
185,2023-10-04 14:50:50,Branch 10,"1S_Burger, 5S_Fries, 5S_Drink"
186,2023-04-02 04:16:29,Branch 6,"2S_Burger, 4S_Fries, 6S_Drink"
187,2023-08-11 18:27:57,Branch 2,3S_Burger
188,2023-01-17 02:09:46,Branch 1,"2S_Burger, 6S_Fries, 2S_Drink"
189,2023-02-07 08:21:55,Branch 1,"7S_Burger, 5S_Fries, 5S_Drink"
190,2023-02-10 14:01:21,Branch 8,"5S_Burger, 4S_Drink"
191,2023-10-13 07:07:39,Branch 10,"1S_Burger, 6S_Fries"
192,2023-02-23 19:29:54,Branch 7,"2S_Fries, 3S_Drink"
193,2023-06-01 08:56:10,Branch 6,"4S_Burger, 1S_Fries"
194,2023-08-31 17:45:06,Branch 5,"6S_Burger, 7S_Fries, 5S_Drink"
195,2023-05-26 00:54:57,Branch 6,"2S_Burger, 1S_Fries, 6S_Drink"
196,2023-12-05 03:04:42,Branch 9,"4S_Burger, 7S_Fries, 5S_Drink"
197,2023-02-21 03:28:15,Branch 5,"4S_Burger, 5S_Fries, 1S_Drink"
198,2023-08-23 02:16:39,Branch 10,"1S_Burger, 6S_Fries, 7S_Drink"
199,2023-04-09 16:56:23,Branch 1,"5S_Fries, 2S_Drink"
200,2023-02-24 12:31:44,Branch 9,"7S_Burger, 6S_Fries, 7S_Drink"
201,2023-04-29 06:57:24,Branch 7,6S_Burger
202,2023-06-24 07:41:14,Branch 10,"6S_Burger, 5S_Fries, 4S_Drink"
203,2023-05-27 04:00:01,Branch 10,"4S_Burger, 5S_Fries, 5S_Drink"
204,2023-03-17 06:55:12,Branch 1,"7S_Fries, 5S_Drink"
205,2023-01-28 14:20:03,Branch 7,"3S_Burger, 4S_Fries, 5S_Drink"
206,2023-05-01 06:54:37,Branch 8,"2S_Burger, 5S_Fries"
207,2023-09-06 03:38:59,Branch 9,"4S_Fries, 1S_Drink"
208,2023-11-27 12:23:59,Branch 3,"5S_Burger, 1S_Fries, 3S_Drink"
209,2023-07-15 14:46:27,Branch 2,"7S_Burger, 5S_Fries, 1S_Drink"
210,2023-06-05 08:27:30,Branch 3,"1S_Burger, 3S_Drink"
211,2023-01-01 06:25:49,Branch 9,"4S_Fries, 3S_Drink"
212,2023-02-26 03:32:34,Branch 8,"3S_Burger, 6S_Fries, 1S_Drink"
213,2023-05-17 04:48:59,Branch 8,"4S_Burger, 3S_Fries, 4S_Drink"
214,2023-04-14 18:08:46,Branch 4,"7S_Fries, 4S_Drink"
215,2023-04-08 09:18:19,Branch 10,"4S_Burger, 6S_Fries, 7S_Drink"
216,2023-12-07 16:22:24,Branch 3,"2S_Burger, 2S_Drink"
217,2023-05-09 13:32:03,Branch 2,"4S_Burger, 2S_Fries, 1S_Drink"
218,2023-08-29 19:53:10,Branch 3,"5S_Burger, 3S_Fries, 5S_Drink"
219,2023-07-17 18:14:24,Branch 10,"6S_Fries, 7S_Drink"
220,2023-03-18 15:31:35,Branch 3,"3S_Burger, 5S_Fries, 7S_Drink"
221,2023-01-07 23:30:36,Branch 3,"6S_Burger, 4S_Fries, 1S_Drink"
222,2023-12-16 16:27:48,Branch 2,"3S_Burger, 1S_Fries, 5S_Drink"
223,2023-11-19 14:17:23,Branch 6,"5S_Burger, 7S_Fries, 2S_Drink"
224,2023-11-10 18:44:27,Branch 1,"2S_Burger, 7S_Fries, 5S_Drink"
225,2023-10-25 09:24:52,Branch 8,"1S_Burger, 4S_Fries, 7S_Drink"
226,2023-06-18 13:42:32,Branch 7,"7S_Burger, 1S_Fries, 2S_Drink"
227,2023-02-12 23:18:35,Branch 1,"6S_Burger, 6S_Fries, 2S_Drink"
228,2023-06-30 12:00:46,Branch 9,"6S_Burger, 2S_Fries, 6S_Drink"
229,2023-08-23 20:32:55,Branch 8,"5S_Burger, 2S_Fries, 3S_Drink"
230,2023-06-20 09:18:27,Branch 10,"1S_Burger, 3S_Fries, 3S_Drink"
231,2023-12-24 05:10:06,Branch 9,7S_Drink
232,2023-01-13 07:03:10,Branch 6,"6S_Burger, 6S_Fries, 1S_Drink"
233,2023-09-07 08:25:34,Branch 3,"1S_Burger, 2S_Fries, 3S_Drink"
234,2023-02-14 19:41:15,Branch 7,"6S_Burger, 5S_Drink"
235,2023-03-26 15:29:52,Branch 3,"1S_Burger, 6S_Fries"
236,2023-02-02 17:27:21,Branch 5,"6S_Burger, 7S_Fries, 6S_Drink"
237,2023-05-20 08:53:04,Branch 1,"1S_Burger, 7S_Fries, 4S_Drink"
238,2023-11-12 09:37:33,Branch 6,"6S_Burger, 5S_Fries, 7S_Drink"
239,2023-06-22 19:43:51,Branch 6,"1S_Burger, 4S_Fries"
240,2023-04-10 13:17:47,Branch 10,"6S_Burger, 5S_Fries, 7S_Drink"
241,2023-11-15 20:37:02,Branch 3,"2S_Burger, 5S_Fries"
242,2023-09-13 03:15:53,Branch 2,"4S_Burger, 6S_Fries"
243,2023-09-11 14:13:51,Branch 3,"6S_Burger, 1S_Fries, 4S_Drink"
244,2023-08-29 07:56:20,Branch 10,"1S_Burger, 7S_Fries, 3S_Drink"
245,2023-10-16 05:24:51,Branch 8,"1S_Burger, 6S_Fries, 3S_Drink"
246,2023-01-01 14:26:43,Branch 10,"1S_Burger, 5S_Fries, 1S_Drink"
247,2023-10-01 00:19:28,Branch 8,"4S_Burger, 7S_Fries, 3S_Drink"
248,2023-06-03 09:59:59,Branch 9,"4S_Burger, 3S_Fries, 4S_Drink"
249,2023-08-28 17:30:56,Branch 4,"3S_Burger, 3S_Fries, 7S_Drink"
250,2023-06-08 10:53:12,Branch 1,"2S_Burger, 1S_Drink"
251,2023-09-25 13:46:32,Branch 1,"1S_Burger, 3S_Fries, 5S_Drink"
252,2023-05-03 23:00:48,Branch 3,"4S_Burger, 5S_Fries, 1S_Drink"
253,2023-12-08 18:55:02,Branch 3,"7S_Fries, 7S_Drink"
254,2023-08-30 00:02:35,Branch 5,"1S_Burger, 1S_Fries, 4S_Drink"
255,2023-09-19 07:57:07,Branch 8,"7S_Burger, 3S_Drink"
256,2023-08-19 12:57:32,Branch 1,"1S_Burger, 5S_Fries, 6S_Drink"
257,2023-01-01 06:04:01,Branch 10,"1S_Burger, 3S_Fries, 3S_Drink"
258,2023-04-12 02:04:45,Branch 1,"1S_Burger, 7S_Fries, 2S_Drink"
259,2023-09-20 10:36:56,Branch 8,5S_Burger
260,2023-05-13 08:01:09,Branch 4,"1S_Burger, 6S_Fries, 2S_Drink"
261,2023-09-18 07:29:28,Branch 1,"6S_Burger, 1S_Fries, 5S_Drink"
262,2023-05-17 07:20:47,Branch 6,"4S_Burger, 5S_Fries, 4S_Drink"
263,2023-10-04 04:06:27,Branch 7,"5S_Burger, 4S_Fries, 3S_Drink"
264,2023-04-23 19:39:47,Branch 2,"6S_Burger, 7S_Fries, 7S_Drink"
265,2023-05-22 02:44:05,Branch 6,"2S_Burger, 6S_Fries, 3S_Drink"
266,2023-09-29 10:44:34,Branch 8,"3S_Burger, 6S_Drink"
267,2023-09-02 23:08:41,Branch 4,"4S_Burger, 7S_Fries, 3S_Drink"
268,2023-12-05 21:42:32,Branch 8,"2S_Burger, 1S_Fries, 3S_Drink"
269,2023-02-03 20:13:18,Branch 8,"1S_Burger, 1S_Fries, 7S_Drink"
270,2023-06-25 17:55:41,Branch 4,"1S_Burger, 6S_Fries, 7S_Drink"
271,2023-04-25 00:43:16,Branch 8,"2S_Burger, 7S_Fries, 5S_Drink"
272,2023-09-17 19:13:34,Branch 4,"1S_Burger, 4S_Fries, 5S_Drink"
273,2023-01-24 01:04:21,Branch 5,"7S_Burger, 1S_Fries, 6S_Drink"
274,2023-11-04 13:10:28,Branch 6,"7S_Burger, 1S_Fries"
275,2023-04-14 15:37:05,Branch 5,"1S_Burger, 5S_Fries, 5S_Drink"
276,2023-07-30 18:32:25,Branch 9,"7S_Burger, 6S_Fries, 5S_Drink"
277,2023-10-22 18:00:00,Branch 6,"5S_Burger, 6S_Fries, 2S_Drink"
278,2023-10-02 16:08:21,Branch 7,"2S_Fries, 1S_Drink"
279,2023-05-04 01:15:37,Branch 8,"1S_Burger, 3S_Fries, 6S_Drink"
280,2023-07-05 14:34:09,Branch 7,"4S_Burger, 7S_Fries, 6S_Drink"
281,2023-11-07 12:18:48,Branch 6,"6S_Burger, 6S_Fries, 1S_Drink"
282,2023-04-11 20:57:33,Branch 3,"1S_Burger, 4S_Fries, 7S_Drink"
283,2023-08-04 06:47:44,Branch 7,"7S_Burger, 7S_Drink"
284,2023-09-14 10:31:03,Branch 6,"3S_Fries, 4S_Drink"
285,2023-06-26 14:14:23,Branch 10,"4S_Burger, 1S_Fries, 3S_Drink"
286,2023-12-28 14:46:54,Branch 4,"6S_Burger, 3S_Fries, 6S_Drink"
287,2023-03-06 05:48:25,Branch 7,"3S_Burger, 7S_Fries, 5S_Drink"
288,2023-01-12 20:43:12,Branch 8,"7S_Burger, 6S_Fries, 5S_Drink"
289,2023-10-22 22:23:28,Branch 7,"4S_Burger, 1S_Drink"
290,2023-11-10 20:46:08,Branch 10,"3S_Burger, 7S_Fries, 2S_Drink"
291,2023-12-04 01:29:16,Branch 4,"2S_Burger, 7S_Fries, 4S_Drink"
292,2023-01-07 10:10:14,Branch 6,"3S_Burger, 5S_Fries, 1S_Drink"
293,2023-08-03 19:55:02,Branch 7,"5S_Burger, 6S_Fries, 6S_Drink"
294,2023-10-10 17:53:47,Branch 1,"5S_Burger, 4S_Fries, 7S_Drink"
295,2023-02-28 09:05:23,Branch 4,"5S_Burger, 6S_Fries, 4S_Drink"
296,2023-05-09 01:23:57,Branch 2,"4S_Burger, 2S_Fries, 3S_Drink"
297,2023-02-07 13:38:49,Branch 9,"5S_Burger, 1S_Fries, 5S_Drink"
298,2023-05-22 00:16:01,Branch 2,"4S_Burger, 1S_Fries, 7S_Drink"
299,2023-09-21 22:17:34,Branch 5,"6S_Fries, 3S_Drink"
300,2023-04-28 06:34:15,Branch 3,"5S_Fries, 7S_Drink"
301,2023-05-25 00:10:52,Branch 2,"6S_Fries, 3S_Drink"
302,2023-12-12 20:43:28,Branch 10,"7S_Burger, 7S_Fries, 1S_Drink"
303,2023-06-08 03:19:29,Branch 4,"2S_Fries, 3S_Drink"
304,2023-01-09 12:35:24,Branch 7,"7S_Burger, 5S_Drink"
305,2023-09-25 08:35:00,Branch 4,"6S_Burger, 5S_Fries, 7S_Drink"
306,2023-06-16 03:55:39,Branch 9,"1S_Burger, 1S_Fries, 1S_Drink"
307,2023-09-10 07:25:19,Branch 5,"4S_Burger, 1S_Fries, 2S_Drink"
308,2023-11-13 11:08:23,Branch 2,"3S_Burger, 1S_Fries, 3S_Drink"
309,2023-04-15 16:56:13,Branch 7,"7S_Burger, 7S_Fries, 3S_Drink"
310,2023-08-03 02:39:31,Branch 6,"7S_Burger, 6S_Fries, 3S_Drink"
311,2023-07-08 08:09:07,Branch 4,"5S_Burger, 3S_Fries, 5S_Drink"
312,2023-10-27 18:29:23,Branch 8,"4S_Burger, 4S_Fries, 6S_Drink"
313,2023-01-28 18:19:57,Branch 3,"7S_Burger, 4S_Fries, 1S_Drink"
314,2023-08-20 15:49:58,Branch 3,"7S_Burger, 2S_Fries, 5S_Drink"
315,2023-04-22 12:46:05,Branch 9,"6S_Fries, 1S_Drink"
316,2023-01-20 19:12:52,Branch 3,"6S_Burger, 7S_Drink"
317,2023-07-07 13:05:09,Branch 7,"4S_Burger, 7S_Drink"
318,2023-07-23 03:55:56,Branch 3,"4S_Burger, 5S_Fries, 2S_Drink"
319,2023-11-25 12:57:55,Branch 5,"2S_Fries, 1S_Drink"
320,2023-12-23 16:56:04,Branch 7,"5S_Burger, 4S_Fries, 3S_Drink"
321,2023-08-30 17:33:04,Branch 2,"3S_Burger, 2S_Fries, 6S_Drink"
322,2023-07-24 11:55:27,Branch 1,"3S_Burger, 1S_Fries"
323,2023-06-18 01:48:53,Branch 6,"7S_Fries, 4S_Drink"
324,2023-09-20 11:54:16,Branch 3,"2S_Fries, 6S_Drink"
325,2023-07-11 04:42:09,Branch 2,"4S_Burger, 4S_Fries, 1S_Drink"
